Date,Speaker,timetype,time,contents
2021-03-20,남기쁨,오후,5:45,1인당 3400원이면 괜찮나요
2021-03-20,전희선,오후,5:46,그 스터디룸 방 두개 남아있으면 한곳에 두개 해도 될거같아요!
2021-03-20,남기쁨,오후,5:48,[네이버 지도]
2021-03-20,남기쁨,오후,5:48,여기 가능할 것 같아요
2021-03-20,남기쁨,오후,5:49,"룸당 10,200원"
2021-03-20,전희선,오후,5:50,오 네네!!
2021-03-20,금나연,오후,6:07,오 저희 끝났어요
2021-03-20,금나연,오후,6:07,누가 했어요?
2021-03-20,금나연,오후,6:07,송금 어디러 하나영
2021-03-20,남기쁨,오후,6:12,아 아직 예약 안했어요
2021-03-20,남기쁨,오후,6:12,저기로 바로 해도 괜찮을까요?
2021-03-20,금나연,오후,6:13,저 지금 네이버 예약 보구 있는데
2021-03-20,금나연,오후,6:13,괜찮지 않을까여?
2021-03-20,남기쁨,오후,6:13,가격은 다 비슷한 것 같으니까
2021-03-20,남기쁨,오후,6:13,그냥 할게요??
2021-03-20,금나연,오후,6:13,네넵!
2021-03-20,남기쁨,오후,6:14,아 가격이 2인 기준이었네
2021-03-20,남기쁨,오후,6:14,3명하니까 15300원이다
2021-03-20,금나연,오후,6:14,3시간에?
2021-03-20,금나연,오후,6:14,세시간이라 그런 것 가타유
2021-03-20,남기쁨,오후,6:15,ㅇㅇ
2021-03-20,금나연,오후,6:15,아아 인원별 추가 금액이 있구나
2021-03-20,금나연,오후,6:15,넹넹 근데 다 비슷하지 않을까여/..? 담합...
2021-03-20,정선용,오후,6:17,저희 7시부터 10시인가요??
2021-03-20,남기쁨,오후,6:17,네
2021-03-20,남기쁨,오후,6:17,[네이버 지도]
2021-03-20,남기쁨,오후,6:17,여기 예약중
2021-03-20,금나연,오후,6:18,조와용
2021-03-20,남기쁨,오후,6:18,혹시나 문제될까봐 그러는데 하나는 다른 분이 해주실래요?
2021-03-20,정선용,오후,6:19,넵 제가 하겠습니당
2021-03-20,금나연,오후,6:19,헐랭
2021-03-20,금나연,오후,6:19,저희 방은 어캐나누나여
2021-03-20,금나연,오후,6:19,제가 지금
2021-03-20,금나연,오후,6:19,사다리탈게요
2021-03-20,남기쁨,오후,6:20,13500원 결제했어요
2021-03-20,금나연,오후,6:22,아 제 사다리 지금 이상해요...
2021-03-20,금나연,오후,6:22,돌려주실분...
2021-03-20,남기쁨,오후,6:22,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021-03-20,금나연,오후,6:22,렉먹었어
2021-03-20,남기쁨,오후,6:22,왤케 오래 타나 했네
2021-03-20,금나연,오후,6:23,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅜㅜㅜ 이상해
2021-03-20,남기쁨,오후,6:23,샵검색: #사다리게임
2021-03-20,금나연,오후,6:24,아 카톡에도 있네!!
2021-03-20,금나연,오후,6:24,나 바보 네이버로하고있엇어..
2021-03-20,금나연,오후,6:24,전 통과방임니다
2021-03-20,금나연,오후,6:24,샵검색: #사다리게임
2021-03-20,금나연,오후,6:24,아무ㅜ야
2021-03-20,금나연,오후,6:24,사진
2021-03-20,금나연,오후,6:24,기쁨민지희선/나연팀장님선용
2021-03-20,정선용,오후,6:25,저도 13500원 결제했습니당
2021-03-20,금나연,오후,6:25,이케에요! 각자 방에 결제하신 기쁨/선용님께 4500원보내면 될 듯 함다
2021-03-20,금나연,오후,6:25,선용오빠 카카오 송금 가능가능?
2021-03-20,남기쁨,오후,6:25,네!! 신한 110-485-972461 남기쁨
2021-03-20,정선용,오후,6:26,사진
2021-03-20,정선용,오후,6:26,가능가능
2021-03-20,남기쁨,오후,6:26,근데 여기에 동문 세명이다 나연아
2021-03-20,금나연,오후,6:26,헐랭
2021-03-20,금나연,오후,6:26,또누구시죠
2021-03-20,금나연,오후,6:26,우리 송이 나와
2021-03-20,금나연,오후,6:26,!!
2021-03-20,남기쁨,오후,6:26,내 기억이 맞다면 희선님
2021-03-20,금나연,오후,6:26,ㅎㅎㅎㅎㅎ 숙시즘~
2021-03-20,금나연,오후,6:26,ㅇㅋ~
2021-03-20,전희선,오후,6:52,저 송이
2021-03-20,전희선,오후,6:52,~!~!~!
2021-03-20,전희선,오후,6:52,이모티콘
2021-03-20,금나연,오후,7:03,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021-03-20,금나연,오후,7:03,~~~ 만반잘부~~
2021-03-20,전희선,오후,7:15,이모티콘
2021-03-22,민지,오후,4:29,혹시 다들 식사는 하고 오시나요? 저 오늘 수업이 일찍 끝나서 시간 괜찮으신 분 있다면 같이 먹고 가도 좋을 것 같아서요..!..
2021-03-22,금나연,오후,4:29,헐랭
2021-03-22,금나연,오후,4:29,저 지금
2021-03-22,금나연,오후,4:29,ㅆ고있었어요
2021-03-22,금나연,오후,4:30,오마이갓 저랑 같이 식사해요! 저 스터디룸 근방 카페에 있는데 6시 정각에 끝나요ㅃ
2021-03-22,민지,오후,4:30,오 좋아요! 저도 가는게 1시간 좀 넘게 걸려서 6시쯤 도착할 것 같습니다!!
2021-03-22,금나연,오후,4:30,ㅃ은 오타..
2021-03-22,금나연,오후,4:30,또 되시는 분있나요 ㅎㅎ
2021-03-22,금나연,오후,4:30,뭐먹을까요~
2021-03-22,민지,오후,4:31,저는 간단하게 주변에서 먹을 수 있는 거 다 좋습니다~ 파스타 이런 것도 좋아요!
2021-03-22,금나연,오후,4:31,맛있겠다... 저 지금 찾아볼게요!
2021-03-22,민지,오후,4:32,"저도 준비하고 5시에 출발할거라, 가면서 바로 찾아보겠습니다!!"
2021-03-22,금나연,오후,5:03,거리 위주로 찾아봤습니다..
2021-03-22,금나연,오후,5:03,http://naver.me/xevjr7yp
2021-03-22,금나연,오후,5:03,http://naver.me/xYQTUQY4
2021-03-22,금나연,오후,5:04,http://naver.me/5NdAyqDY
2021-03-22,금나연,오후,5:04,http://naver.me/5h3EZzbX
2021-03-22,금나연,오후,5:04,ㅎㅎ
2021-03-22,남기쁨,오후,5:04,와 맛있겠다
2021-03-22,남기쁨,오후,5:04,부럽다~~
2021-03-22,금나연,오후,5:05,ㅎㅎㅎ~~~ 기쁨 ㅜㅜ 알바라니...
2021-03-22,남기쁨,오후,5:08,ㅋㅋㅋㅋㅋ 맛있는 거 먹고 와유
2021-03-22,이승희,오후,5:09,저도 갈게용
2021-03-22,금나연,오후,5:09,오 팀장님
2021-03-22,금나연,오후,5:09,4중 골라주세여
2021-03-22,이승희,오후,5:10,(단백질환영)
2021-03-22,금나연,오후,5:10,wow
2021-03-22,금나연,오후,5:10,꼬기?
2021-03-22,이승희,오후,5:12,이모티콘
2021-03-22,금나연,오후,5:12,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 열심히 골라놨는데...
2021-03-22,금나연,오후,5:12,팀장님이 골라봐여 그럼..
2021-03-22,금나연,오후,5:13,메뉴 결정 쏘 어렵
2021-03-22,민지,오후,5:29,저는 파스타 좋은데 고기 드시고 싶으면 고기도 좋아요!!
2021-03-22,이승희,오후,5:29,ㅏ
2021-03-22,이승희,오후,5:29,프리모바치오바치
2021-03-22,민지,오후,5:29,"정말 죄송한데 나오실때 여유롭게 나와 주세요,,... 버스로 가는데 정말정말 느립니다ㅠㅠ"
2021-03-22,이승희,오후,5:29,보고고기파는곳인줄알았어요
2021-03-22,이승희,오후,5:29,저도파스타좋아요
2021-03-22,금나연,오후,5:30,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021-03-22,금나연,오후,5:31,12341234
2021-03-22,이승희,오후,5:32,2또는4
2021-03-22,민지,오후,5:34,그럼 전 2요!
2021-03-22,금나연,오후,5:38,2 고고~ 승희님 민지님 몇시까지 오실 수 있으세요? 저 9출 앞 카페인데 넉넉잡아 6시 10분에 도착할 것 같아요!
2021-03-22,민지,오후,5:40,네네! 저도 그쯤 도착할 것 같습니다!
2021-03-22,금나연,오후,5:45,좋아요~
2021-03-22,이승희,오후,5:45,옙
2021-03-22,이승희,오후,5:58,저는 도착
2021-03-22,금나연,오후,5:58,헐
2021-03-22,금나연,오후,5:59,저 2분 후에 뛰어갈게요 ㅈㅁ만요
2021-03-22,이승희,오후,5:59,ㅋㅋㅋㅋㅋㅋㅋ
2021-03-22,이승희,오후,5:59,천천히
2021-03-22,민지,오후,6:01,제발 천천히 가주세요...얼른 갈게요!!!!!
2021-03-22,이승희,오후,6:03,어디세요???
2021-03-22,이승희,오후,6:04,사진
2021-03-22,민지,오후,6:07,저 논현역입니다ㅠㅠ
2021-03-22,금나연,오후,6:07,엇
2021-03-22,민지,오후,6:07,나연님 오시면 먼저 들어가세요...!!
2021-03-22,금나연,오후,6:07,저 입군대
2021-03-22,이승희,오후,6:07,어디입구??
2021-03-22,금나연,오후,6:08,여긴 어디죠
2021-03-22,금나연,오후,6:08,반대쪽인가
2021-03-22,이승희,오후,6:08,엥
2021-03-22,금나연,오후,6:08,사진
2021-03-22,이승희,오후,6:08,뮈ㅣ아
2021-03-22,이승희,오후,6:08,저기3번아님???
2021-03-22,금나연,오후,6:08,아 나 바보
2021-03-22,금나연,오후,6:08,다시갈게요
2021-03-22,금나연,오후,6:08,ㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋ
2021-03-22,남기쁨,오후,6:31,저 도착했어요..ㅋㅋㅋ
2021-03-22,금나연,오후,6:32,ㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱ 아 어떡해
2021-03-22,금나연,오후,6:32,기다릴 데 있어?!
2021-03-22,남기쁨,오후,6:33,미리 들어가게 해주심!
2021-03-22,남기쁨,오후,6:33,저랑 같은 방은 4번으로 오세요~~
2021-03-22,금나연,오후,6:35,.
2021-03-22,전희선,오후,6:36,네~!
2021-03-22,남기쁨,오후,6:49,번호 83227154 찍고 들어오면 돼요!
2021-03-22,정선용,오후,6:54,사진
2021-03-22,정선용,오후,6:54,이거 찍으시면 됩니다~~!
2021-03-22,남기쁨,오후,6:55,사진
2021-03-22,남기쁨,오후,6:55,저도 바코드가 있었네요
2021-03-22,이승희,오후,6:59,아
2021-03-22,이승희,오후,6:59,잘못
2021-03-22,이승희,오후,6:59,와서
2021-03-22,이승희,오후,7:00,"저,민지,나연"
2021-03-22,이승희,오후,7:00,10분내로갈게요 ㅠㅠ...
2021-03-22,이승희,오후,7:00,죄송해요
2021-03-22,금나연,오후,7:00,제 잘못이에요.. 죄송함다..
2021-03-22,정선용,오후,7:00,조심히 오세요~~
2021-03-22,남기쁨,오후,7:03,ㅋㅋㅋ조심히 오세요
2021-03-22,남기쁨,오후,7:03,줌이라도 미리 파놓을까요?
2021-03-22,정선용,오후,7:04,https://zoom.us/j/9018431916?pwd=MU0ra3FoNGF1MzhVYXpLenFiU2lYQT09
2021-03-22,정선용,오후,7:04,제가 팠어요!!
2021-03-22,금나연,오후,7:14,https://docs.google.com/document/d/1NhCtPL0LtFgZHyLb0suQFPkCi8umNgeVqILidwZkpy0/edit?usp=sharing
2021-03-22,남기쁨,오후,7:16,카톡 분석 : 파이썬 - https://95pbj.tistory.com/m/20
2021-03-22,정선용,오후,7:20,https://duckkkk.com/entry/%EC%B9%B4%EC%B9%B4%EC%98%A4%ED%86%A1-%EC%B1%84%ED%8C%85-%EB%B6%84%EC%84%9D
2021-03-22,금나연,오후,7:34,https://docs.google.com/presentation/d/19l9vcL2PbTkjp888uv5rL_1mdH5jOlHNuJRbcluWFWA/edit?usp=sharing
2021-03-22,남기쁨,오후,7:49,https://creatorjo.tistory.com/m/91
2021-03-22,남기쁨,오후,9:14,파일: SookPoong.txt
2021-03-22,이승희,오후,9:14,파일: 이승희대외활동.txt
2021-03-22,남기쁨,오후,9:37,https://medium.com/@umerfarooq_26378/tools-to-run-python-on-android-9060663972b4
2021-03-22,전희선,오후,9:52,"수목일 가능합니다~,,,,"
2021-03-22,이승희,오후,9:57,사진
2021-03-22,금나연,오후,10:22,삭제된 메시지입니다.
2021-03-22,금나연,오후,10:22,삭제된 메시지입니다.
2021-03-22,금나연,오후,10:22,삭제된 메시지입니다.
2021-03-22,금나연,오후,10:22,아님다..
2021-03-22,정선용,오후,10:25,기프는 만날때마다 올리면 되나요??!
2021-03-22,금나연,오후,10:26,그..네
2021-03-22,금나연,오후,10:26,두번 필수.!
2021-03-22,남기쁨,오후,10:30,저희 수요일에 넉넉잡아 몇시까지 만날 것 같나요?
2021-03-22,남기쁨,오후,10:30,적어도 6시는 되겠져?
2021-03-22,전희선,오후,10:31,앱 팀만 만나는 건가요?
2021-03-22,남기쁨,오후,10:32,피엠님 어떻게 할까요
2021-03-22,금나연,오후,10:32,데분팀 따로 만날게요!
2021-03-22,금나연,오후,10:32,금욜까지 전처리 마무리하기러했슴다
2021-03-22,남기쁨,오후,10:32,ㅇㅋㅇㅋ
2021-03-22,금나연,오후,10:32,ㅎㅎㅎㅎㅎ 혹싀여 ai 셋이 수욜에 듣기전에 밥먹는거 어때여ㅎㅎ 딱 밥먹을 타이밍인데..
2021-03-22,남기쁨,오후,10:33,ㅋㅋㅋㅋㅋ
2021-03-22,정선용,오후,10:33,"저희 최대한 빨리 끝내고 앱쪽으로 합류하겠습니다,,,ㅎㅎ"
2021-03-22,남기쁨,오후,10:33,좋습니다
2021-03-22,금나연,오후,10:33,😍
2021-03-22,정선용,오후,10:33,저도 좋아요~~!
2021-03-22,금나연,오후,10:33,오케이~ 자세한건 낼 정해욥
2021-03-22,정선용,오후,10:34,넵넵~~!
2021-03-22,정선용,오후,10:35,저희 모인거 페북에도 올리나요?!
2021-03-22,금나연,오후,10:35,아..뇨?
2021-03-22,금나연,오후,10:35,잠시만요
2021-03-22,금나연,오후,10:41,안 올려도 된답니다~
2021-03-22,정선용,오후,10:55,감사합니다ㅎㅎ 오늘은 제가 올릴게요
2021-03-22,남기쁨,오후,10:56,네 감사합니다~
2021-03-22,전희선,오후,11:02,우리수욜 몇시에 만나나요?!
2021-03-22,금나연,오후,11:02,강연은 2시반에 끝나는겅로 알아요~
2021-03-22,남기쁨,오후,11:03,3시에 만날까요?
2021-03-22,전희선,오후,11:03,승희님이랑 민지님 언제부터 가능하세요?
2021-03-22,이승희,오후,11:04,몇시간정도
2021-03-22,이승희,오후,11:04,할까요???
2021-03-22,남기쁨,오후,11:05,뭔가 알아볼 수 있는 거 알아보고 만날까요
2021-03-22,남기쁨,오후,11:05,몇시간이 적당할 지는 저도 잘 모르겠...
2021-03-22,전희선,오후,11:06,일단 기쁨님이 알바를 가셔야하지 않나요?
2021-03-22,남기쁨,오후,11:08,원래 시간대로면 5시반에 나가야 하고 한시간 정도는 부탁드리면 늦출 스 있을 것 같아요
2021-03-22,금나연,오후,11:08,기쁨이 열정..뜨거워
2021-03-22,민지,오후,11:08,저 수요일은 1시 이후부터 다 가능합니다.!
2021-03-22,금나연,오후,11:08,🔥
2021-03-22,전희선,오후,11:09,그러면 한 3시-3시반레는 만나야 하지 않을까요?!
2021-03-22,민지,오후,11:09,네 좋아요!
2021-03-22,이승희,오후,11:12,민지님 밥값 11000원좀
2021-03-22,이승희,오후,11:12,주세요!!
2021-03-22,금나연,오후,11:12,ㅋㅋㄱㅋㅋㄱㅋㄱㅋㄱㅋ
2021-03-22,남기쁨,오후,11:21,아...안 늦춰도 되면 좋고...ㅎㅎ..
2021-03-22,정선용,오후,11:22,승희님 스터디룸 4500원좀 주세요!!
2021-03-22,정선용,오후,11:22,ㅋㅋㅋㅋ
2021-03-22,전희선,오후,11:23,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ케
2021-03-22,남기쁨,오후,11:23,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021-03-22,전희선,오후,11:23,3시에
2021-03-22,전희선,오후,11:23,볼까요?
2021-03-22,전희선,오후,11:24,3시강남?!
2021-03-22,남기쁨,오후,11:24,넨0
2021-03-22,전희선,오후,11:24,승희님 괜찮으세요?
2021-03-22,남기쁨,오후,11:24,사진
2021-03-22,남기쁨,오후,11:24,여긴 잡담
2021-03-22,남기쁨,오후,11:25,"죄송합니다,,"
2021-03-22,정선용,오후,11:25,?? 왜 죄송해요ㅋㅋㅋㅋ
2021-03-22,전희선,오후,11:25,여러ㅜ분
2021-03-22,전희선,오후,11:25,인스타 팔로우 해도 돼욮?
2021-03-22,전희선,오후,11:25,ㅎㅎ..
2021-03-22,남기쁨,오후,11:25,ㅇㅇㅇ
2021-03-22,남기쁨,오후,11:26,"드립 실패,,"
2021-03-22,금나연,오후,11:27,ㅋㅋㄱㅋㄱㅋㄱㅋㅋㄱㅋ 기쁨이 데분팀으로 오자
2021-03-22,금나연,오후,11:27,🥕
2021-03-22,민지,오후,11:39,네 계좌번호 주세요!
2021-03-22,이승희,오후,11:44,48505048701018이승희 기업
2021-03-22,이승희,오후,11:45,계좌번호주세요!
2021-03-22,민지,오후,11:47,네 보냈습니다.!
2021-03-22,정선용,오후,11:49,카페나 국민 17260204150033 으로 보내주세요!!
2021-03-22,이승희,오후,11:50,옙
2021-03-23,금나연,오전,1:01,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저희 마케팅 1조랑
2021-03-23,금나연,오전,1:01,포즈 똑같음~
2021-03-23,금나연,오전,1:01,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021-03-23,전희선,오전,1:01,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021-03-23,금나연,오전,1:01,이걸 보여줄수도 없고
2021-03-23,금나연,오전,1:02,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021-03-23,금나연,오전,1:02,1조끼리 통했어 진짜~
2021-03-23,남기쁨,오후,1:14,다들 노션 보셨나요..
2021-03-23,남기쁨,오후,1:15,"Q. 평가기준 2번에 어플에서 카카오톡 단톡방 정보를 올바르게 수신 했는지 확인할 예정이라고 하셨는데, 이 뜻이 어플을 카카오톡과 연동하여 실시간으로 받아오라는 건지 아니면 카카오톡 대화방에서 저장한 파일을 불러오는 것으로 진행해도 되는건지 궁금합니다."
2021-03-23,정선용,오후,1:15,방금 봤어요ㅠㅠ
2021-03-23,정선용,오후,1:15,"서버 배포에 기여도도 비율로 해야된다네요 ,,,"
2021-03-23,남기쁨,오후,1:16,결국 서버 배포해야 되면
2021-03-23,이승희,오후,1:17,제일어려운것만
2021-03-23,이승희,오후,1:17,골라진듯
2021-03-23,이승희,오후,1:17,ㅠ
2021-03-23,남기쁨,오후,1:17,어제 서버 피해가려고 그렇게 머리를 굴렸는데...
2021-03-23,정선용,오후,1:18,서버비를 달라ㅠㅠㅠㅠ
2021-03-23,금나연,오후,1:36,"Q. 카톡방 대화만으로 프리라이더가 누구인지 판단하기는 쉽지 않을 것 같다고 생각하는데, 데이터분석 외의 UX적인 요소를 추가해서(팀원 투표,과제제출등을 이용) 프리라이더를 골라내어도 되나요?"
2021-03-23,금나연,오후,1:36,이게 무슨말이에요?
2021-03-23,이승희,오후,1:37,ㅇㅎ
2021-03-23,이승희,오후,1:37,데분뿐아니라
2021-03-23,이승희,오후,1:37,앱에 추가기능으로 익명투표라던지
2021-03-23,이승희,오후,1:38,그런걸로 찾는방법을 고안해봐도되냐
2021-03-23,이승희,오후,1:38,답 : 좋은데 데분이 가장 큰 비율로 반영되게끔해달라
2021-03-23,이승희,오후,1:38,이거아님??
2021-03-23,정선용,오후,1:40,승희님 말처럼 정량적 데이터가 주가 되면 되는거 같습니당
2021-03-23,금나연,오후,2:08,아 오키
2021-03-23,금나연,오후,2:08,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021-03-23,남기쁨,오후,2:09,그럼 kivy를 쓸 필요가 없어지는 건가..?
2021-03-23,정선용,오후,2:09,장고르 써야되지않을까요...?
2021-03-23,정선용,오후,2:10,사진
2021-03-23,정선용,오후,2:10,사진
2021-03-23,정선용,오후,2:10,두분다 말씀을 많이 하시는군요ㅎㅎ
2021-03-23,남기쁨,오후,2:10,둘다 승희님 데이터인데요??
2021-03-23,정선용,오후,2:11,엇 그러네요
2021-03-23,정선용,오후,2:11,ㅋㅋㅋㅋ
2021-03-23,정선용,오후,2:11,잠시만요
2021-03-23,정선용,오후,2:11,사진
2021-03-23,남기쁨,오후,2:12,오
2021-03-23,전희선,오후,2:12,오
2021-03-23,정선용,오후,2:14,사진
2021-03-23,정선용,오후,2:15,근데 이름이 이런식으로 추출될때가 있어서 코드는 더 만져봐야될 것 같습니다ㅠㅠ
2021-03-23,남기쁨,오후,2:15,밑 2줄이요?
2021-03-23,남기쁨,오후,2:15,아님 위에 4개?
2021-03-23,정선용,오후,2:16,아래 두개요!!
2021-03-23,남기쁨,오후,2:16,아
2021-03-23,남기쁨,오후,2:16,넵!
2021-03-23,정선용,오후,2:16,"이름이 위에 4개처럼 나와야되는데 저렇게 나오더라고요,,,"
2021-03-23,이승희,오후,2:16,오
2021-03-23,이승희,오후,2:16,나말많았구나
2021-03-23,정선용,오후,2:16,채팅방 데이터마다 저런 예외 처리가 나오면 어떻게 처리할지 논의해봐야 할 것 같습니당
2021-03-23,정선용,오후,2:17,사진
2021-03-23,정선용,오후,2:17,이런 경우는 시간당 빈도가 거의 같다고 보여서 기준을 좀 정확히 정해야 할 것 같습니다!
2021-03-23,남기쁨,오후,2:28,내 기억상 웹프기 들을 때 교수님이 무료로 웹 호스팅 서비스 받을 수 있는 거 알려주셨던 것 같은데 기간 짧게
2021-03-23,남기쁨,오후,2:28,아닌가
2021-03-23,이승희,오후,2:36,아니면
2021-03-23,이승희,오후,2:36,웹서버대여되냐고
2021-03-23,이승희,오후,2:36,돈어케하냐고 직설적으로물어볼걸 그랬나
2021-03-23,전희선,오후,2:36,그러게요...
2021-03-23,전희선,오후,2:40,제가 친구한테 물어봤는데 한달에 7000원 정도 하는 (무료도 있대요) 서버 사용할수있는곳이 있대요!
2021-03-23,전희선,오후,2:40,헤로쿠
2021-03-23,전희선,오후,2:40,라고합니다
2021-03-23,남기쁨,오후,2:40,저도 찾아보니까 카페24인가 거기서 5500원에 해주긴 해주더라고욬ㅋㅋㅋ
2021-03-23,전희선,오후,2:40,한달에 700시간인가 사용가능하고 사람안들어오면 30분뒤에 자동 서버종료 시켜주고
2021-03-23,전희선,오후,2:41,사람들어가면 자동 실행 해준다네요
2021-03-23,남기쁨,오후,2:41,물론 2주용 과제하면서 사비로 서버 구축하는게 의아하긴 하지만 가능만 하다면 하는 걸로..
2021-03-23,전희선,오후,2:41,저게 앱에서 요청을 보낼 수 있는지는 잘 모르겟아요?
2021-03-23,전희선,오후,2:41,!
2021-03-23,남기쁨,오후,2:53,무료호스팅 할 수 있을 것 같아요
2021-03-23,정선용,오후,2:57,오 어디서 할 수 있나요??
2021-03-23,남기쁨,오후,3:01,닷홈!
2021-03-23,남기쁨,오후,3:01,근데
2021-03-23,남기쁨,오후,3:01,작년에 강의 들었던 건데 그거 아직 유효기간이 남아있네요...?
2021-03-23,정선용,오후,3:04,"어 저도 그거 html할때 썻던거 같은데,,,,"
2021-03-23,남기쁨,오후,3:06,그쵸ㅋㅋㅋ
2021-03-23,남기쁨,오후,6:29,내일 AI 큐넥트 분들 몇시에 만날까요?
2021-03-23,금나연,오후,6:30,와 내일이네 
